Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1970-01-01 00:00:51, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.35, 35.70, 31.26, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:52, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.33, 35.77, 31.30, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:53, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.39, 35.78, 31.36, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:54, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.22, 35.39, 35.75, 31.31, 0.00, -0.22, 16.00, 10.00, 0.00
1970-01-01 00:00:55, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.39, 35.76, 31.36, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:56, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.35, 35.77, 31.29, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:57, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.35, 35.80, 31.41, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:58, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.32, 35.73, 31.34, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:59, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.19, 35.66, 31.31, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:00, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.20, 35.71, 31.22, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:01, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.26, 35.73, 31.23, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:02, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.22, 35.73, 31.20, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:03, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.27, 35.70, 31.20, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:04, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.21, 35.71, 31.30, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:05, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.20, 35.70, 31.29, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:06, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.24, 35.73, 31.26, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:07, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.26, 35.62, 31.34, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:08, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.23, 35.71, 31.28, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:09, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.24, 35.67, 31.27, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:10, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.23, 35.69, 31.24, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:11, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.30, 35.70, 31.29, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:12, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.16, 35.67, 31.24, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:13, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.19, 35.65, 31.20, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:14, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.20, 35.65, 31.16, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:15, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.21, 35.62, 31.13, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:16, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.08, 35.67, 31.09, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:17, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.14, 35.63, 31.15, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:18, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.08, 35.65, 31.09, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:19, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.08, 35.66, 31.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:52, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.16, 35.66, 31.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:53, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.15, 35.65, 31.19, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:53:55, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.10, 35.65, 31.10, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:53:56, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.12, 35.67, 31.17, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:53:57, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.16, 35.63, 31.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:53:58, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.12, 35.64, 31.15, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:53:59, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.12, 35.64, 31.08, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:00, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.09, 35.67, 31.13, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:01, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.08, 35.69, 31.06, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:02, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.16, 35.65, 31.02, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:03, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.15, 35.65, 31.15, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:04, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.15, 35.69, 31.02, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:05, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.12, 35.67, 31.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:06, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.13, 35.66, 31.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:07, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.15, 35.73, 31.06, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:08, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.20, 35.70, 31.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:09, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.22, 35.75, 31.20, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 11:54:10, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.10, 35.86, 31.17, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 11:54:11, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.19, 35.80, 31.17, 0.00, -0.20, 16.00, 10.00, 0.00
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1970-01-01 00:00:01, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.30, 35.03, 35.67, 31.06, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:02, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.30, 35.02, 35.69, 31.06, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:03, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.29, 35.10, 35.67, 31.09, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:04, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.10, 35.71, 31.05, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.02, 35.76, 31.10, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:06, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.05, 35.76, 31.00, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:07, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.08, 35.73, 30.98, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:08, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.06, 35.73, 31.02, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:09, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.01, 35.73, 30.99, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:10, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.09, 35.73, 30.95, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:11, 0.00, 0.00, 0.00, 0.26, 0.00, 1.00, 1.00, 0.00, 0.00, 12.22, 34.99, 35.64, 30.97, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:12, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.03, 35.67, 30.93, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:13, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.98, 35.64, 30.97, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:14, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.04, 35.69, 30.99, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:15, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 34.99, 35.65, 30.97, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:16, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.06, 35.65, 30.95, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:17, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.96, 35.59, 30.98, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:18, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 35.01, 35.63, 30.91, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:19, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.01, 35.67, 30.95, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:20, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 34.97, 35.63, 30.95, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:21, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.98, 35.63, 30.97, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:22, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.91, 35.66, 30.93, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:23, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.96, 35.63, 30.95, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:24, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.98, 35.59, 30.93, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:25, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.03, 35.62, 30.90, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:26, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.88, 35.65, 30.93, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:27, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.94, 35.73, 30.90, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:28, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.90, 35.65, 30.91, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:29, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.92, 35.67, 30.87, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:30, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.90, 35.70, 30.93, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:31, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.91, 35.55, 30.93, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:32, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.88, 35.55, 30.91, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:33, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.84, 35.53, 30.90, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:34, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.90, 35.55, 30.93, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:35, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.88, 35.53, 30.87, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:36, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.80, 35.57, 30.88, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:37, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.85, 35.58, 30.84, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:38, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.78, 35.53, 30.86, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:39, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.74, 35.55, 30.81, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:40, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.85, 35.51, 30.81, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:41, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.83, 35.51, 30.80, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:42, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.83, 35.53, 30.75, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:43, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.73, 35.53, 30.82, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:44, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.80, 35.52, 30.79, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:45, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.77, 35.53, 30.81, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:46, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.74, 35.46, 30.84, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:47, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.65, 35.55, 30.73, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:48, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.74, 35.52, 30.77, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:49, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.73, 35.52, 30.79, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:50, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.79, 35.55, 30.79, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:51, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.79, 35.48, 30.74, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:52, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.72, 35.40, 30.84, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:53, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.77, 35.57, 30.77, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:54, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.77, 35.44, 30.73, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:55, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.76, 35.47, 30.75, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:56, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.72, 35.48, 30.73, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:57, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.70, 35.40, 30.77, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:58, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.70, 35.44, 30.73, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:59, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.66, 35.46, 30.71, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:00, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.70, 35.45, 30.70, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:01, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.66, 35.44, 30.73, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:02, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.70, 35.44, 30.71, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:03, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.67, 35.49, 30.71, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:04, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.63, 35.40, 30.70, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:05, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 34.65, 35.44, 30.64, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:06, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.70, 35.44, 30.73, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:07, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.70, 35.39, 30.69, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:08, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.70, 35.40, 30.73, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:09, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.63, 35.39, 30.74, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:10, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.65, 35.35, 30.71, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:11, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.65, 35.35, 30.74, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:12, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 34.73, 35.39, 30.71, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:01:13, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 34.61, 35.39, 30.73, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:01:14, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.23, 34.61, 35.37, 30.73, 0.00, -0.20, 16.00, 10.00, 0.00
